pos,sense1_wn21,sense2_wn21,sense1_wn16,sense2_wn16,sense1_wn21_def,sense1_wn16_def,sense2_wn21_def,sense2_wn16_def,sense1_topic,sense2_topic,topic_similarity
n,chain.n.1,chain.n.2,chain.n.1,chain.n.2,a series of things depending on each other as if linked together,a series of things depending on each other as if linked together:,(chemistry) a series of linked atoms (generally in an organic molecule),a series of linked atoms (generally in an organic molecule),tf_idfBNC_filt.chain.n.1.txt,tf_idfBNC_filt.chain.n.2.txt,0.7250489963361246
n,chain.n.1,chain.n.4,chain.n.1,chain.n.4,a series of things depending on each other as if linked together,a series of things depending on each other as if linked together:,a number of similar establishments (stores or restaurants or banks or hotels or theaters) under one ownership,a number of similar establishments (stores or restaurants or banks or hotels or theaters) under one ownership,tf_idfBNC_filt.chain.n.1.txt,tf_idfBNC_filt.chain.n.4.txt,0.7873932214688775
n,chain.n.1,chain.n.9,chain.n.1,chain.n.9,a series of things depending on each other as if linked together,a series of things depending on each other as if linked together:,a necklace made by a stringing objects together,a necklace made by a stringing objects together;  or,tf_idfBNC_filt.chain.n.1.txt,tf_idfBNC_filt.chain.n.9.txt,0.9933888831234664
n,chain.n.1,chain.n.8,chain.n.1,range.n.5,a series of things depending on each other as if linked together,a series of things depending on each other as if linked together:,a series of hills or mountains,a series of hills or mountains,tf_idfBNC_filt.chain.n.1.txt,tf_idfBNC_filt.range.n.5.txt,0.6918724051113196
n,chain.n.1,chain.n.6,chain.n.1,chain.n.6,a series of things depending on each other as if linked together,a series of things depending on each other as if linked together:,a unit of length,a unit of length,tf_idfBNC_filt.chain.n.1.txt,tf_idfBNC_filt.chain.n.6.txt,0.8148398904913404
n,chain.n.2,chain.n.4,chain.n.2,chain.n.4,(chemistry) a series of linked atoms (generally in an organic molecule),a series of linked atoms (generally in an organic molecule),a number of similar establishments (stores or restaurants or banks or hotels or theaters) under one ownership,a number of similar establishments (stores or restaurants or banks or hotels or theaters) under one ownership,tf_idfBNC_filt.chain.n.2.txt,tf_idfBNC_filt.chain.n.4.txt,0.9770907408141154
n,chain.n.2,chain.n.9,chain.n.2,chain.n.9,(chemistry) a series of linked atoms (generally in an organic molecule),a series of linked atoms (generally in an organic molecule),a necklace made by a stringing objects together,a necklace made by a stringing objects together;  or,tf_idfBNC_filt.chain.n.2.txt,tf_idfBNC_filt.chain.n.9.txt,0.7740130372835429
n,chain.n.2,chain.n.8,chain.n.2,range.n.5,(chemistry) a series of linked atoms (generally in an organic molecule),a series of linked atoms (generally in an organic molecule),a series of hills or mountains,a series of hills or mountains,tf_idfBNC_filt.chain.n.2.txt,tf_idfBNC_filt.range.n.5.txt,0.9471138906267726
n,chain.n.2,chain.n.6,chain.n.2,chain.n.6,(chemistry) a series of linked atoms (generally in an organic molecule),a series of linked atoms (generally in an organic molecule),a unit of length,a unit of length,tf_idfBNC_filt.chain.n.2.txt,tf_idfBNC_filt.chain.n.6.txt,0.9649597733302878
n,chain.n.4,chain.n.9,chain.n.4,chain.n.9,a number of similar establishments (stores or restaurants or banks or hotels or theaters) under one ownership,a number of similar establishments (stores or restaurants or banks or hotels or theaters) under one ownership,a necklace made by a stringing objects together,a necklace made by a stringing objects together;  or,tf_idfBNC_filt.chain.n.4.txt,tf_idfBNC_filt.chain.n.9.txt,0.8208159309277312
