pos,sense1_wn21,sense2_wn21,sense1_wn16,sense2_wn16,offset1_wn16,offset2_wn16,sense1_wn21_def,sense1_wn16_def,sense2_wn21_def,sense2_wn16_def,wn_domain_feature
v,consult.v.3,consult.v.4,confer.v.1,consult.v.6,00593763-v,00593630-v,have a conference in order to talk something over,have a conference in order to talk something over,advise professionally,advise professionally,1.0
v,consult.v.3,consult.v.1,confer.v.1,consult.v.1,00593763-v,00594442-v,have a conference in order to talk something over,have a conference in order to talk something over,get or ask advice from,get or ask advice from,1.0
v,consult.v.3,consult.v.2,confer.v.1,consult.v.2,00593763-v,00594016-v,have a conference in order to talk something over,have a conference in order to talk something over,seek information from,seek information from,1.0
v,consult.v.4,consult.v.1,consult.v.6,consult.v.1,00593630-v,00594442-v,advise professionally,advise professionally,get or ask advice from,get or ask advice from,1.0
v,consult.v.4,consult.v.2,consult.v.6,consult.v.2,00593630-v,00594016-v,advise professionally,advise professionally,seek information from,seek information from,1.0
v,consult.v.1,consult.v.2,consult.v.1,consult.v.2,00594442-v,00594016-v,get or ask advice from,get or ask advice from,seek information from,seek information from,1.0
v,age.v.1,age.v.2,age.v.1,age.v.2,00169547-v,00169382-v,begin to seem older; get older,begin to seem older; get older,grow old or older,grow old or older,1.0
v,age.v.1,age.v.3,age.v.1,age.v.3,00169547-v,00170328-v,begin to seem older; get older,begin to seem older; get older,make older,make older,1.0
v,age.v.2,age.v.3,age.v.2,age.v.3,00169382-v,00170328-v,grow old or older,grow old or older,make older,make older,1.0
n,chain.n.1,chain.n.2,chain.n.1,chain.n.2,06247825-n,06688935-n,a series of things depending on each other as if linked together,a series of things depending on each other as if linked together:,(chemistry) a series of linked atoms (generally in an organic molecule),a series of linked atoms (generally in an organic molecule),1.0
n,chain.n.1,chain.n.4,chain.n.1,chain.n.4,06247825-n,06006004-n,a series of things depending on each other as if linked together,a series of things depending on each other as if linked together:,a number of similar establishments (stores or restaurants or banks or hotels or theaters) under one ownership,a number of similar establishments (stores or restaurants or banks or hotels or theaters) under one ownership,1.0
n,chain.n.1,chain.n.9,chain.n.1,chain.n.9,06247825-n,02417043-n,a series of things depending on each other as if linked together,a series of things depending on each other as if linked together:,a necklace made by a stringing objects together,a necklace made by a stringing objects together;  or,1.0
n,chain.n.1,chain.n.8,chain.n.1,range.n.5,06247825-n,06700800-n,a series of things depending on each other as if linked together,a series of things depending on each other as if linked together:,a series of hills or mountains,a series of hills or mountains,1.0
n,chain.n.1,chain.n.6,chain.n.1,chain.n.6,06247825-n,09816662-n,a series of things depending on each other as if linked together,a series of things depending on each other as if linked together:,a unit of length,a unit of length,1.0
n,chain.n.2,chain.n.4,chain.n.2,chain.n.4,06688935-n,06006004-n,(chemistry) a series of linked atoms (generally in an organic molecule),a series of linked atoms (generally in an organic molecule),a number of similar establishments (stores or restaurants or banks or hotels or theaters) under one ownership,a number of similar establishments (stores or restaurants or banks or hotels or theaters) under one ownership,1.0
n,chain.n.2,chain.n.9,chain.n.2,chain.n.9,06688935-n,02417043-n,(chemistry) a series of linked atoms (generally in an organic molecule),a series of linked atoms (generally in an organic molecule),a necklace made by a stringing objects together,a necklace made by a stringing objects together;  or,1.0
n,chain.n.2,chain.n.8,chain.n.2,range.n.5,06688935-n,06700800-n,(chemistry) a series of linked atoms (generally in an organic molecule),a series of linked atoms (generally in an organic molecule),a series of hills or mountains,a series of hills or mountains,1.0
n,chain.n.2,chain.n.6,chain.n.2,chain.n.6,06688935-n,09816662-n,(chemistry) a series of linked atoms (generally in an organic molecule),a series of linked atoms (generally in an organic molecule),a unit of length,a unit of length,1.0
n,chain.n.4,chain.n.9,chain.n.4,chain.n.9,06006004-n,02417043-n,a number of similar establishments (stores or restaurants or banks or hotels or theaters) under one ownership,a number of similar establishments (stores or restaurants or banks or hotels or theaters) under one ownership,a necklace made by a stringing objects together,a necklace made by a stringing objects together;  or,1.0
n,chain.n.4,chain.n.8,chain.n.4,range.n.5,06006004-n,06700800-n,a number of similar establishments (stores or restaurants or banks or hotels or theaters) under one ownership,a number of similar establishments (stores or restaurants or banks or hotels or theaters) under one ownership,a series of hills or mountains,a series of hills or mountains,1.0
n,chain.n.4,chain.n.6,chain.n.4,chain.n.6,06006004-n,09816662-n,a number of similar establishments (stores or restaurants or banks or hotels or theaters) under one ownership,a number of similar establishments (stores or restaurants or banks or hotels or theaters) under one ownership,a unit of length,a unit of length,1.0
n,chain.n.9,chain.n.8,chain.n.9,range.n.5,02417043-n,06700800-n,a necklace made by a stringing objects together,a necklace made by a stringing objects together;  or,a series of hills or mountains,a series of hills or mountains,1.0
n,chain.n.9,chain.n.6,chain.n.9,chain.n.6,02417043-n,09816662-n,a necklace made by a stringing objects together,a necklace made by a stringing objects together;  or,a unit of length,a unit of length,1.0
n,chain.n.8,chain.n.6,range.n.5,chain.n.6,06700800-n,09816662-n,a series of hills or mountains,a series of hills or mountains,a unit of length,a unit of length,1.0
n,guideline.n.1,guideline.n.2,guideline.n.2,,05093543-n,09816662-n,a light line that is used in lettering to help align the letters,a light line that is used in lettering to help align the letters,a detailed plan or explanation to guide you in setting standards or determining a course of action,a unit of length,1.0
n,guideline.n.1,guideline.n.3,guideline.n.2,guidepost.n.1,05093543-n,04503351-n,a light line that is used in lettering to help align the letters,a light line that is used in lettering to help align the letters,a rule or principle that provides guidance to appropriate behavior,a rule or principle that provides guidance to appropriate behavior,1.0
n,guideline.n.2,guideline.n.3,,guidepost.n.1,05093543-n,04503351-n,a detailed plan or explanation to guide you in setting standards or determining a course of action,a light line that is used in lettering to help align the letters,a rule or principle that provides guidance to appropriate behavior,a rule or principle that provides guidance to appropriate behavior,1.0
v,provide.v.3,provide.v.1,provide.v.3,supply.v.1,00721124-v,01590833-v,"determine (what is to happen in certain contingencies), especially by including a proviso condition or stipulation","determine (what is to happen in certain contingencies), esp. by including a proviso condition",provide or furnish with,provide or furnish with,1.0
v,provide.v.3,provide.v.2,provide.v.3,provide.v.2,00721124-v,00804159-v,"determine (what is to happen in certain contingencies), especially by including a proviso condition or stipulation","determine (what is to happen in certain contingencies), esp. by including a proviso condition","provide what is desired or needed, especially support, food or sustenance","provide what is desired or needed, esp. support, food or sustenance",1.0
v,provide.v.3,provide.v.4,provide.v.3,put_up.v.2,00721124-v,01618684-v,"determine (what is to happen in certain contingencies), especially by including a proviso condition or stipulation","determine (what is to happen in certain contingencies), esp. by including a proviso condition",mount or put up,mount or put up,1.0
v,provide.v.3,provide.v.5,provide.v.3,,00721124-v,01618684-v,"determine (what is to happen in certain contingencies), especially by including a proviso condition or stipulation","determine (what is to happen in certain contingencies), esp. by including a proviso condition",make a possibility or provide opportunity for; permit to be attainable or cause to remain,mount or put up,1.0
v,provide.v.3,provide.v.6,provide.v.3,,00721124-v,01618684-v,"determine (what is to happen in certain contingencies), especially by including a proviso condition or stipulation","determine (what is to happen in certain contingencies), esp. by including a proviso condition",supply means of subsistence; earn a living,mount or put up,1.0
v,provide.v.3,provide.v.7,provide.v.3,,00721124-v,01618684-v,"determine (what is to happen in certain contingencies), especially by including a proviso condition or stipulation","determine (what is to happen in certain contingencies), esp. by including a proviso condition",take measures in preparation for,mount or put up,1.0
v,provide.v.1,provide.v.2,supply.v.1,provide.v.2,01590833-v,00804159-v,provide or furnish with,provide or furnish with,"provide what is desired or needed, especially support, food or sustenance","provide what is desired or needed, esp. support, food or sustenance",1.0
v,provide.v.1,provide.v.4,supply.v.1,put_up.v.2,01590833-v,01618684-v,provide or furnish with,provide or furnish with,mount or put up,mount or put up,1.0
v,provide.v.1,provide.v.5,supply.v.1,,01590833-v,01618684-v,provide or furnish with,provide or furnish with,make a possibility or provide opportunity for; permit to be attainable or cause to remain,mount or put up,1.0
v,provide.v.1,provide.v.6,supply.v.1,,01590833-v,01618684-v,provide or furnish with,provide or furnish with,supply means of subsistence; earn a living,mount or put up,1.0
v,provide.v.1,provide.v.7,supply.v.1,,01590833-v,01618684-v,provide or furnish with,provide or furnish with,take measures in preparation for,mount or put up,1.0
v,provide.v.2,provide.v.4,provide.v.2,put_up.v.2,00804159-v,01618684-v,"provide what is desired or needed, especially support, food or sustenance","provide what is desired or needed, esp. support, food or sustenance",mount or put up,mount or put up,1.0
v,provide.v.2,provide.v.5,provide.v.2,,00804159-v,01618684-v,"provide what is desired or needed, especially support, food or sustenance","provide what is desired or needed, esp. support, food or sustenance",make a possibility or provide opportunity for; permit to be attainable or cause to remain,mount or put up,1.0
v,provide.v.2,provide.v.6,provide.v.2,,00804159-v,01618684-v,"provide what is desired or needed, especially support, food or sustenance","provide what is desired or needed, esp. support, food or sustenance",supply means of subsistence; earn a living,mount or put up,1.0
v,provide.v.2,provide.v.7,provide.v.2,,00804159-v,01618684-v,"provide what is desired or needed, especially support, food or sustenance","provide what is desired or needed, esp. support, food or sustenance",take measures in preparation for,mount or put up,1.0
