Pos,sense1_key17,sense1_wn17,sense2_wn17,sense2_key17,sense1_wn21,sense2_wn21,offset1_wn21,offset2_wn21,sense1_wn17_def,sense1_wn21_def,sense2_wn17_def,sense2_wn21_def,Merge,selse2
v,wander%2:38:00::,wander.v.01,wander.v.03,wander%2:38:02::,roll#v#12,wander#v#03,01863577-v,02083938-v,,"move about aimlessly or without any destination, often in search of food or employment",,go via an indirect route or at no set pace,not-merged,roll#v#12-wander#v#03
v,observe%2:31:00::,observe.v.08,observe.v.09,observe%2:41:04::,observe#v#08,observe#v#09,00724225-v,02554084-v,,observe correctly or closely,,conform one's action or practice to,not-merged,observe#v#08-observe#v#09
v,draw%2:36:02::,draw.v.20,draw.v.08,draw%2:38:00::,draw#v#19,draw#v#07,01628770-v,01836719-v,,engage in drawing,,take liquid out of a container or well,not-merged,draw#v#19-draw#v#07
v,draw%2:36:02::,draw.v.20,draw.v.11,draw%2:37:01::,draw#v#19,draw#v#10,01628770-v,01743542-v,,engage in drawing,,"elicit responses, such as objections, criticism, applause, etc.",not-merged,draw#v#19-draw#v#10
v,draw%2:36:02::,draw.v.20,draw.v.06,draw%2:38:01::,draw#v#19,draw#v#05,01628770-v,01976850-v,,engage in drawing,,"bring, take, or pull out of a container or from under a cover",not-merged,draw#v#19-draw#v#05
v,draw%2:36:02::,draw.v.20,draw.v.15,draw%2:33:01::,draw#v#19,draw#v#14,01628770-v,01067344-v,,engage in drawing,,choose at random,not-merged,draw#v#19-draw#v#14
v,draw%2:36:02::,draw.v.20,draw.v.17,draw%2:30:14::,draw#v#19,draw#v#16,01628770-v,00551180-v,,engage in drawing,,bring or lead someone to a certain action or condition,not-merged,draw#v#19-draw#v#16
v,draw%2:36:02::,draw.v.20,draw.v.07,draw%2:36:00::,draw#v#19,draw#v#06,01628770-v,01675192-v,,engage in drawing,,"represent by making a drawing of, as with a pencil, chalk, etc. on a surface",not-merged,draw#v#19-draw#v#06
v,draw%2:36:02::,draw.v.20,draw.v.21,draw%2:35:02::,draw#v#19,draw#v#20,01628770-v,01231577-v,,engage in drawing,,move or pull so as to cover or uncover something,not-merged,draw#v#19-draw#v#20
v,draw%2:36:02::,draw.v.20,draw.v.05,draw%2:31:00::,draw#v#19,draw#v#04,01628770-v,00722431-v,,engage in drawing,,"make, formulate, or derive in the mind",not-merged,draw#v#19-draw#v#04
v,draw%2:36:02::,draw.v.20,draw.v.19,draw%2:36:07::,draw#v#19,draw#v#18,01628770-v,01675714-v,,engage in drawing,,write a legal document or paper,not-merged,draw#v#19-draw#v#18
v,draw%2:36:02::,draw.v.20,draw.v.10,draw%2:31:13::,draw#v#19,draw#v#09,01628770-v,00667867-v,,engage in drawing,,select or take in from a given group or region,not-merged,draw#v#19-draw#v#09
v,draw%2:36:02::,draw.v.20,draw.v.30,draw%2:30:00::,draw#v#19,draw#v#31,01628770-v,00471947-v,,engage in drawing,,contract,not-merged,draw#v#19-draw#v#31
v,draw%2:36:02::,draw.v.20,draw.v.13,draw%2:38:02::,draw#v#19,draw#v#12,01628770-v,02069432-v,,engage in drawing,,move or go steadily or gradually,not-merged,draw#v#19-draw#v#12
v,draw%2:38:00::,draw.v.08,draw.v.11,draw%2:37:01::,draw#v#07,draw#v#10,01836719-v,01743542-v,,take liquid out of a container or well,,"elicit responses, such as objections, criticism, applause, etc.",not-merged,draw#v#07-draw#v#10
v,draw%2:38:00::,draw.v.08,draw.v.06,draw%2:38:01::,draw#v#07,draw#v#05,01836719-v,01976850-v,,take liquid out of a container or well,,"bring, take, or pull out of a container or from under a cover",not-merged,draw#v#07-draw#v#05
v,draw%2:38:00::,draw.v.08,draw.v.15,draw%2:33:01::,draw#v#07,draw#v#14,01836719-v,01067344-v,,take liquid out of a container or well,,choose at random,not-merged,draw#v#07-draw#v#14
v,draw%2:38:00::,draw.v.08,draw.v.17,draw%2:30:14::,draw#v#07,draw#v#16,01836719-v,00551180-v,,take liquid out of a container or well,,bring or lead someone to a certain action or condition,not-merged,draw#v#07-draw#v#16
v,draw%2:38:00::,draw.v.08,draw.v.07,draw%2:36:00::,draw#v#07,draw#v#06,01836719-v,01675192-v,,take liquid out of a container or well,,"represent by making a drawing of, as with a pencil, chalk, etc. on a surface",not-merged,draw#v#07-draw#v#06
v,draw%2:38:00::,draw.v.08,draw.v.21,draw%2:35:02::,draw#v#07,draw#v#20,01836719-v,01231577-v,,take liquid out of a container or well,,move or pull so as to cover or uncover something,not-merged,draw#v#07-draw#v#20
v,draw%2:38:00::,draw.v.08,draw.v.05,draw%2:31:00::,draw#v#07,draw#v#04,01836719-v,00722431-v,,take liquid out of a container or well,,"make, formulate, or derive in the mind",not-merged,draw#v#07-draw#v#04
v,draw%2:38:00::,draw.v.08,draw.v.19,draw%2:36:07::,draw#v#07,draw#v#18,01836719-v,01675714-v,,take liquid out of a container or well,,write a legal document or paper,not-merged,draw#v#07-draw#v#18
v,draw%2:38:00::,draw.v.08,draw.v.10,draw%2:31:13::,draw#v#07,draw#v#09,01836719-v,00667867-v,,take liquid out of a container or well,,select or take in from a given group or region,not-merged,draw#v#07-draw#v#09
v,draw%2:38:00::,draw.v.08,draw.v.30,draw%2:30:00::,draw#v#07,draw#v#31,01836719-v,00471947-v,,take liquid out of a container or well,,contract,not-merged,draw#v#07-draw#v#31
v,draw%2:38:00::,draw.v.08,draw.v.13,draw%2:38:02::,draw#v#07,draw#v#12,01836719-v,02069432-v,,take liquid out of a container or well,,move or go steadily or gradually,not-merged,draw#v#07-draw#v#12
v,draw%2:37:01::,draw.v.11,draw.v.06,draw%2:38:01::,draw#v#10,draw#v#05,01743542-v,01976850-v,,"elicit responses, such as objections, criticism, applause, etc.",,"bring, take, or pull out of a container or from under a cover",not-merged,draw#v#10-draw#v#05
v,draw%2:37:01::,draw.v.11,draw.v.07,draw%2:36:00::,draw#v#10,draw#v#06,01743542-v,01675192-v,,"elicit responses, such as objections, criticism, applause, etc.",,"represent by making a drawing of, as with a pencil, chalk, etc. on a surface",not-merged,draw#v#10-draw#v#06
v,draw%2:37:01::,draw.v.11,draw.v.21,draw%2:35:02::,draw#v#10,draw#v#20,01743542-v,01231577-v,,"elicit responses, such as objections, criticism, applause, etc.",,move or pull so as to cover or uncover something,not-merged,draw#v#10-draw#v#20
v,draw%2:37:01::,draw.v.11,draw.v.05,draw%2:31:00::,draw#v#10,draw#v#04,01743542-v,00722431-v,,"elicit responses, such as objections, criticism, applause, etc.",,"make, formulate, or derive in the mind",not-merged,draw#v#10-draw#v#04
v,draw%2:37:01::,draw.v.11,draw.v.10,draw%2:31:13::,draw#v#10,draw#v#09,01743542-v,00667867-v,,"elicit responses, such as objections, criticism, applause, etc.",,select or take in from a given group or region,not-merged,draw#v#10-draw#v#09
v,draw%2:37:01::,draw.v.11,draw.v.13,draw%2:38:02::,draw#v#10,draw#v#12,01743542-v,02069432-v,,"elicit responses, such as objections, criticism, applause, etc.",,move or go steadily or gradually,not-merged,draw#v#10-draw#v#12
v,draw%2:38:01::,draw.v.06,draw.v.15,draw%2:33:01::,draw#v#05,draw#v#14,01976850-v,01067344-v,,"bring, take, or pull out of a container or from under a cover",,choose at random,not-merged,draw#v#05-draw#v#14
v,draw%2:38:01::,draw.v.06,draw.v.17,draw%2:30:14::,draw#v#05,draw#v#16,01976850-v,00551180-v,,"bring, take, or pull out of a container or from under a cover",,bring or lead someone to a certain action or condition,not-merged,draw#v#05-draw#v#16
v,draw%2:38:01::,draw.v.06,draw.v.07,draw%2:36:00::,draw#v#05,draw#v#06,01976850-v,01675192-v,,"bring, take, or pull out of a container or from under a cover",,"represent by making a drawing of, as with a pencil, chalk, etc. on a surface",not-merged,draw#v#05-draw#v#06
v,draw%2:38:01::,draw.v.06,draw.v.21,draw%2:35:02::,draw#v#05,draw#v#20,01976850-v,01231577-v,,"bring, take, or pull out of a container or from under a cover",,move or pull so as to cover or uncover something,not-merged,draw#v#05-draw#v#20
v,draw%2:38:01::,draw.v.06,draw.v.05,draw%2:31:00::,draw#v#05,draw#v#04,01976850-v,00722431-v,,"bring, take, or pull out of a container or from under a cover",,"make, formulate, or derive in the mind",not-merged,draw#v#05-draw#v#04
v,draw%2:38:01::,draw.v.06,draw.v.19,draw%2:36:07::,draw#v#05,draw#v#18,01976850-v,01675714-v,,"bring, take, or pull out of a container or from under a cover",,write a legal document or paper,not-merged,draw#v#05-draw#v#18
v,draw%2:38:01::,draw.v.06,draw.v.10,draw%2:31:13::,draw#v#05,draw#v#09,01976850-v,00667867-v,,"bring, take, or pull out of a container or from under a cover",,select or take in from a given group or region,not-merged,draw#v#05-draw#v#09
v,draw%2:38:01::,draw.v.06,draw.v.30,draw%2:30:00::,draw#v#05,draw#v#31,01976850-v,00471947-v,,"bring, take, or pull out of a container or from under a cover",,contract,not-merged,draw#v#05-draw#v#31
v,draw%2:38:01::,draw.v.06,draw.v.13,draw%2:38:02::,draw#v#05,draw#v#12,01976850-v,02069432-v,,"bring, take, or pull out of a container or from under a cover",,move or go steadily or gradually,not-merged,draw#v#05-draw#v#12
v,draw%2:33:01::,draw.v.15,draw.v.17,draw%2:30:14::,draw#v#14,draw#v#16,01067344-v,00551180-v,,choose at random,,bring or lead someone to a certain action or condition,not-merged,draw#v#14-draw#v#16
v,draw%2:33:01::,draw.v.15,draw.v.07,draw%2:36:00::,draw#v#14,draw#v#06,01067344-v,01675192-v,,choose at random,,"represent by making a drawing of, as with a pencil, chalk, etc. on a surface",not-merged,draw#v#14-draw#v#06
v,draw%2:33:01::,draw.v.15,draw.v.21,draw%2:35:02::,draw#v#14,draw#v#20,01067344-v,01231577-v,,choose at random,,move or pull so as to cover or uncover something,not-merged,draw#v#14-draw#v#20
v,draw%2:33:01::,draw.v.15,draw.v.05,draw%2:31:00::,draw#v#14,draw#v#04,01067344-v,00722431-v,,choose at random,,"make, formulate, or derive in the mind",not-merged,draw#v#14-draw#v#04
v,draw%2:33:01::,draw.v.15,draw.v.10,draw%2:31:13::,draw#v#14,draw#v#09,01067344-v,00667867-v,,choose at random,,select or take in from a given group or region,not-merged,draw#v#14-draw#v#09
v,draw%2:33:01::,draw.v.15,draw.v.30,draw%2:30:00::,draw#v#14,draw#v#31,01067344-v,00471947-v,,choose at random,,contract,not-merged,draw#v#14-draw#v#31
v,draw%2:33:01::,draw.v.15,draw.v.13,draw%2:38:02::,draw#v#14,draw#v#12,01067344-v,02069432-v,,choose at random,,move or go steadily or gradually,not-merged,draw#v#14-draw#v#12
v,draw%2:30:14::,draw.v.17,draw.v.07,draw%2:36:00::,draw#v#16,draw#v#06,00551180-v,01675192-v,,bring or lead someone to a certain action or condition,,"represent by making a drawing of, as with a pencil, chalk, etc. on a surface",not-merged,draw#v#16-draw#v#06
v,draw%2:30:14::,draw.v.17,draw.v.21,draw%2:35:02::,draw#v#16,draw#v#20,00551180-v,01231577-v,,bring or lead someone to a certain action or condition,,move or pull so as to cover or uncover something,not-merged,draw#v#16-draw#v#20
v,draw%2:30:14::,draw.v.17,draw.v.05,draw%2:31:00::,draw#v#16,draw#v#04,00551180-v,00722431-v,,bring or lead someone to a certain action or condition,,"make, formulate, or derive in the mind",not-merged,draw#v#16-draw#v#04
v,draw%2:30:14::,draw.v.17,draw.v.10,draw%2:31:13::,draw#v#16,draw#v#09,00551180-v,00667867-v,,bring or lead someone to a certain action or condition,,select or take in from a given group or region,not-merged,draw#v#16-draw#v#09
v,draw%2:30:14::,draw.v.17,draw.v.13,draw%2:38:02::,draw#v#16,draw#v#12,00551180-v,02069432-v,,bring or lead someone to a certain action or condition,,move or go steadily or gradually,not-merged,draw#v#16-draw#v#12
v,draw%2:36:00::,draw.v.07,draw.v.21,draw%2:35:02::,draw#v#06,draw#v#20,01675192-v,01231577-v,,"represent by making a drawing of, as with a pencil, chalk, etc. on a surface",,move or pull so as to cover or uncover something,not-merged,draw#v#06-draw#v#20
v,draw%2:36:00::,draw.v.07,draw.v.05,draw%2:31:00::,draw#v#06,draw#v#04,01675192-v,00722431-v,,"represent by making a drawing of, as with a pencil, chalk, etc. on a surface",,"make, formulate, or derive in the mind",not-merged,draw#v#06-draw#v#04
v,draw%2:36:00::,draw.v.07,draw.v.19,draw%2:36:07::,draw#v#06,draw#v#18,01675192-v,01675714-v,,"represent by making a drawing of, as with a pencil, chalk, etc. on a surface",,write a legal document or paper,not-merged,draw#v#06-draw#v#18
v,draw%2:36:00::,draw.v.07,draw.v.10,draw%2:31:13::,draw#v#06,draw#v#09,01675192-v,00667867-v,,"represent by making a drawing of, as with a pencil, chalk, etc. on a surface",,select or take in from a given group or region,not-merged,draw#v#06-draw#v#09
v,draw%2:36:00::,draw.v.07,draw.v.30,draw%2:30:00::,draw#v#06,draw#v#31,01675192-v,00471947-v,,"represent by making a drawing of, as with a pencil, chalk, etc. on a surface",,contract,not-merged,draw#v#06-draw#v#31
v,draw%2:36:00::,draw.v.07,draw.v.13,draw%2:38:02::,draw#v#06,draw#v#12,01675192-v,02069432-v,,"represent by making a drawing of, as with a pencil, chalk, etc. on a surface",,move or go steadily or gradually,not-merged,draw#v#06-draw#v#12
v,draw%2:35:02::,draw.v.21,draw.v.05,draw%2:31:00::,draw#v#20,draw#v#04,01231577-v,00722431-v,,move or pull so as to cover or uncover something,,"make, formulate, or derive in the mind",not-merged,draw#v#20-draw#v#04
v,draw%2:35:02::,draw.v.21,draw.v.10,draw%2:31:13::,draw#v#20,draw#v#09,01231577-v,00667867-v,,move or pull so as to cover or uncover something,,select or take in from a given group or region,not-merged,draw#v#20-draw#v#09
v,draw%2:35:02::,draw.v.21,draw.v.13,draw%2:38:02::,draw#v#20,draw#v#12,01231577-v,02069432-v,,move or pull so as to cover or uncover something,,move or go steadily or gradually,not-merged,draw#v#20-draw#v#12
